,Declared Date,Dividend Amount,Dividend Frequency,Dividend Type,Ex-Date,Payable Date,Record Date,security
0,2019-11-13,0.234,Quarter,Regular Cash,2019-12-19,2020-01-06,2019-12-20,/bbgid/BBG000FYNK80
0,2019-12-02,0.075,Monthly,Regular Cash,2019-12-30,2020-01-13,2019-12-31,/bbgid/BBG003BW0JD4
0,2019-11-19,0.5125,Quarter,Regular Cash,2019-12-05,2019-12-20,2019-12-06,/bbgid/BBG000BWVSR1
0,2019-10-28,0.1,Quarter,Regular Cash,2019-12-12,2019-12-27,2019-12-13,/bbgid/BBG00B6G8077
0,2019-11-05,0.76,Quarter,Regular Cash,2019-12-13,2019-12-31,2019-12-16,/bbgid/BBG000QDQ4F9
0,2019-11-13,0.34,Quarter,Regular Cash,2019-12-12,2019-12-31,2019-12-13,/bbgid/BBG000BFVZ83
0,2019-10-23,0.02,Quarter,Regular Cash,2019-12-12,2020-01-01,2019-12-13,/bbgid/BBG000BVVQQ8
0,2019-11-21,0.36,Quarter,Regular Cash,2019-12-16,2019-12-31,2019-12-17,/bbgid/BBG000D0FMX3
0,2019-11-21,0.03,Quarter,Regular Cash,2019-12-11,2020-01-02,2019-12-12,/bbgid/BBG000BDB1Y6
0,2019-11-26,0.32,Quarter,Regular Cash,2019-12-09,2019-12-23,2019-12-10,/bbgid/BBG000BR1HK6
0,2019-11-11,0.1,Semi-Anl,Regular Cash,2019-12-24,2020-01-09,2019-12-26,/bbgid/BBG008NZ8QC0
0,2019-12-05,0.28,Quarter,Regular Cash,2019-12-30,2020-01-15,2019-12-31,/bbgid/BBG000PN1SJ8
0,2019-11-14,0.2,Quarter,Regular Cash,2019-12-05,2019-12-16,2019-12-06,/bbgid/BBG000H9G7X2
0,2019-10-31,0.275,Quarter,Regular Cash,2019-12-13,2019-12-31,2019-12-16,/bbgid/BBG000C1FB75
0,2019-12-04,0.06,Monthly,Regular Cash,2019-12-13,2019-12-31,2019-12-16,/bbgid/BBG000D17GK7
0,2019-11-14,0.16,Quarter,Regular Cash,2019-12-05,2019-12-20,2019-12-06,/bbgid/BBG004MN1R41
0,2019-11-05,0.1625,Quarter,Regular Cash,2019-12-12,2019-12-31,2019-12-13,/bbgid/BBG000NS26Q8
0,2019-11-06,0.12,Quarter,Regular Cash,2019-12-13,2019-12-31,2019-12-16,/bbgid/BBG0017DRN10
0,2019-11-12,0.3,Quarter,Regular Cash,2019-12-13,2019-12-30,2019-12-16,/bbgid/BBG000BPL8G3
0,2019-11-07,0.041667,Monthly,Regular Cash,2020-03-30,2020-04-15,2020-03-31,/bbgid/BBG000C0GL92
1,2019-11-07,0.041667,Monthly,Regular Cash,2020-02-27,2020-03-16,2020-02-28,/bbgid/BBG000C0GL92
2,2019-11-07,0.041667,Monthly,Regular Cash,2020-01-30,2020-02-17,2020-01-31,/bbgid/BBG000C0GL92
3,2019-08-12,0.04,Monthly,Regular Cash,2019-12-30,2020-01-15,2019-12-31,/bbgid/BBG000C0GL92
0,2019-12-02,0.065,Quarter,Regular Cash,2019-12-18,2019-12-31,2019-12-19,/bbgid/BBG000BQDXP5
0,2019-10-08,0.65,Quarter,Regular Cash,2019-12-12,2019-12-27,2019-12-13,/bbgid/BBG000P458P3
0,2019-11-15,0.5125,Quarter,Regular Cash,2020-01-08,2020-01-23,2020-01-09,/bbgid/BBG000F1ZSN5
0,2019-12-04,1.02,Quarter,Regular Cash,2020-01-16,2020-02-07,2020-01-17,/bbgid/BBG000BK67C7
0,2019-10-16,1.2,Quarter,Regular Cash,2019-12-12,2019-12-31,2019-12-13,/bbgid/BBG000FV1Z23
0,2019-10-30,0.72,Quarter,Regular Cash,2019-12-05,2020-01-02,2019-12-06,/bbgid/BBG000F4W650
0,2019-11-04,0.21,Quarter,Regular Cash,2019-12-13,2019-12-31,2019-12-16,/bbgid/BBG000JDGKJ8
0,2019-11-25,0.2325,Quarter,Regular Cash,2020-01-10,2020-02-18,2020-01-13,/bbgid/BBG000BLF8D2
