,fsym_id,exdate,bbg_id,in_index
87,FWM083-R,2020-10-23,BBG000BB7JQ5,0
88,G4B1PZ-R,2020-09-04,BBG004Z1PW11,0
89,G5M19V-R,2020-12-14,BBG000BVP5P2,1
90,GCCR8P-R,2020-10-08,BBG000P87B57,1
91,GDDS7M-R,2020-07-02,BBG000C0VW37,0
92,GFDBJ9-R,2020-10-09,BBG000BJMDS2,0
93,GFJC62-R,2020-10-01,BBG000C3J3C9,1
94,GHV9DL-R,2020-07-15,BBG000D5TLG8,0
95,GPC22V-R,2020-10-01,BBG000F5HBL5,0
96,GQN0DG-R,2020-11-24,BBG000BXT422,0
97,GRR6HF-R,2020-10-29,BBG000BDJ1L2,0
98,GRRBRK-R,2020-10-13,BBG000BJTBC6,0
99,GRS9LG-R,2020-10-08,BBG000BBNYF6,1
100,GSXR5Q-R,2020-06-12,BBG000CDH213,0
101,GXCVG7-R,2020-12-30,BBG000M8S4W3,0
102,GY928Q-R,2020-10-30,BBG000N22GR2,0
103,GYJ1QD-R,2020-12-30,BBG000QDT8Z5,1
104,GYM5PB-R,2020-10-28,BBG0019LSQ49,1
105,H0KR21-R,2020-10-13,BBG000HLJ7M4,0
106,H1PMLS-R,2020-10-22,BBG000BFQYY3,1
107,H1W8C2-R,2020-02-18,BBG000BZJ598,0
108,H5490W-R,2020-10-16,BBG000BK9W84,0
109,H8HN1T-R,2020-01-30,BBG000F8KJS1,0
110,H8HR7X-R,2020-10-08,BBG000BDNV95,0
111,H8P4JZ-R,2020-10-27,BBG000BGX2S0,0
112,H9SWTL-R,2020-10-14,BBG000DYGCS6,0
113,H9ZBR7-R,2020-10-22,BBG00GNT7999,0
114,HBS07V-R,2020-10-22,BBG000JNCBF4,0
115,HCPTRF-R,2020-10-30,BBG000QL34X6,0
116,HF6097-R,2020-11-30,BBG000BCLYL9,0
117,HJGDPD-R,2020-01-07,BBG000BQJTR6,0
118,HJHDLB-R,2020-10-14,BBG000BMCQY0,0
119,HKLDF7-R,2020-10-30,BBG000BRW8B2,0
120,HLDF9W-R,2020-12-30,BBG004CDX4P7,0
121,HLRKD5-R,2020-10-29,BBG000BYD2V9,1
122,HP79S6-R,2020-12-21,BBG000PKBR05,0
123,HQ4DBK-R,2020-10-07,BBG000BQLTW7,1
124,HQ87P5-R,2020-10-29,BBG000BVV7G1,1
125,HR9BX9-R,2020-11-09,BBG000CF5097,0
