bm_id,fsym_id,bbg_id,cnt
SPTSX,N286BN-R,BBG000BJJ834,2
SPTSX,N4K9ZD-R,BBG000BZ2Y20,2
SPTSX,PRMD3Z-R,BBG000D0PTF7,2
SPTSX,PGJW6S-R,BBG000BZC425,2
SPTSX,PGQCV2-R,BBG0017DRN10,2
SPTSX,PC2KK2-R,BBG000BMZ5P1,2
SPTSX,QJKQYN-R,BBG000QDQ4F9,2
SPTSX,Q7CL31-R,BBG000BZCZJ8,2
SPTSX,PZHJN0-R,BBG000PWGV23,2
SPTSX,PX63DZ-R,BBG000LS68P3,2
SPTSX,X0MNQ7-R,BBG000C06730,2
SPTSX,WXD74Z-R,BBG000BXX6N9,2
SPTSX,XF814J-R,BBG000C9K6K8,2
SPTSX,X1SH0V-R,BBG000C44CB4,2
SPTSX,X2DZC9-R,BBG004G493C6,2
SPTSX,X4JD2N-R,BBG001NQ7774,2
SPTSX,TXY0GZ-R,BBG000PPJTH4,2
SPTSX,TMTXG7-R,BBG000BD2407,2
SPTSX,TQ8V8H-R,BBG000BXJSH4,2
SPTSX,TR8891-R,BBG000C40QG2,2
SPTSX,TRDSY9-R,BBG000BC8SH2,2
SPTSX,TSDJK4-R,BBG009L730J7,2
SPTSX,VGYKN2-R,BBG000BCJG31,2
SPTSX,VBMVML-R,BBG000P4R174,2
SPTSX,V1HC1N-R,BBG000VC6WR2,2
SPTSX,TYPLZM-R,BBG0093LLBM8,2
SPTSX,W8YZJS-R,BBG000GT6BT6,2
SPTSX,WC5Y1H-R,BBG000GLP2C0,2
SPTSX,W7S6D8-R,BBG000BXSXH3,2
SPTSX,W800CN-R,BBG000Q32RJ2,2
SPTSX,WN8BRL-R,BBG000D07ZQ1,2
SPTSX,W13NGF-R,BBG000BLZFL5,2
SPTSX,VV9LP2-R,BBG006L2SZC7,2
SPTSX,V759HN-R,BBG000HRCTX8,2
SPTSX,VT67J6-R,BBG000G0LND3,2
SPTSX,J5XSLR-R,BBG000FL7N17,2
SPTSX,FDN05J-R,BBG000BYFPY3,2
SPTSX,JT792F-R,BBG000C0QCK8,2
SPTSX,K6Q83L-R,BBG000BCG226,2
SPTSX,KDC2JN-R,BBG00K6988R4,2
SPTSX,JDDDQJ-R,BBG009CL5J76,2
SPTSX,JDV16T-R,BBG000BZTJQ8,2
SPTSX,JS1YSB-R,BBG000DZ8BC1,2
SPTSX,HN0ZL5-R,BBG000C20FG0,2
SPTSX,HLRKD5-R,BBG000BYD2V9,2
SPTSX,J0FV3X-R,BBG00HTVK2F9,2
SPTSX,HP55Q6-R,BBG000BJCC41,2
SPTSX,HXYSHY-R,BBG000CVD440,2
SPTSX,HJGCMC-R,BBG000D0BPV2,2
SPTSX,HF4YDC-R,BBG000LX4D19,2
SPTSX,HCXCQ1-R,BBG000BH2W88,2
SPTSX,GXCQ63-R,BBG000FYNK80,2
SPTSX,H6L5S4-R,BBG001J94C33,2
SPTSX,H0PH6K-R,BBG000BLH2H9,2
SPTSX,KHZRFD-R,BBG000FFVZT6,2
SPTSX,L0ND5P-R,BBG00C7Q12N7,2
SPTSX,L0NDP5-R,BBG000DPZC04,2
SPTSX,L56306-R,BBG000BC1LY5,2
